Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39464578,6/15/18 0:10,6/15/18 2:43,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2340 BELMONT AVENUE,BELMONT AVENUE,EAST 183 STREET,CRESCENT AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:10,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:49,06 BRONX,2030880017,BRONX,1015593,250258,PHONE,Unspecified,BRONX,,,,,,,,40.85351969,-73.88670204,"(40.853519689574, -73.886702042316)"
39459466,6/15/18 0:10,6/15/18 1:42,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,244 EAST HOUSTON STREET,EAST HOUSTON STREET,AVENUE A,NORFOLK STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:10,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:42,03 MANHATTAN,1003970065,MANHATTAN,988212,202342,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72205788,-73.98570651,"(40.722057877202, -73.985706507874)"
39459447,6/15/18 0:10,6/15/18 1:48,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,651 EAST 189 STREET,EAST 189 STREET,BELMONT AVENUE,CAMBRELENG AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:10,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:48,06 BRONX,2030910001,BRONX,1016194,251397,ONLINE,Unspecified,BRONX,,,,,,,,40.85664375,-73.88452414,"(40.856643748084, -73.884524136215)"
39465165,6/15/18 0:10,6/15/18 0:56,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11414,,,,,98 STREET,161 AVENUE,INTERSECTION,HOWARD BEACH,,Precinct,Closed,6/15/18 8:10,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:56,10 QUEENS,,QUEENS,1030204,178500,PHONE,Unspecified,QUEENS,,,,,,,,40.65649872,-73.83437708,"(40.656498718259, -73.834377075667)"
39465530,6/15/18 0:11,6/15/18 1:26,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,255 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST 170 STREET,WEST 171 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:11,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:26,12 MANHATTAN,1021390175,MANHATTAN,1000458,246671,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.84371519,-73.94142034,"(40.843715192414, -73.941420340332)"
39461619,6/15/18 0:11,6/15/18 2:01,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10306,460 LINCOLN AVENUE,LINCOLN AVENUE,MASON AVENUE,MORELAND STREET,,,ADDRESS,STATEN ISLAND,,Precinct,Closed,6/15/18 8:11,The Police Department issued a summons in response to the complaint.,6/15/18 2:01,02 STATEN ISLAND,5038170028,STATEN ISLAND,956988,148327,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.57375741,-74.09813329,"(40.573757408442, -74.098133290575)"
39459471,6/15/18 0:11,6/15/18 1:08,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11355,,,,,KISSENA BOULEVARD,MAPLE AVENUE,INTERSECTION,FLUSHING,,Precinct,Closed,6/15/18 8:11,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:08,07 QUEENS,,QUEENS,1032519,214886,ONLINE,Unspecified,QUEENS,,,,,,,,40.75635718,-73.82577277,"(40.756357176494, -73.825772770531)"
39460713,6/15/18 0:13,6/15/18 1:27,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11001,255-07 87 ROAD,87 ROAD,LITTLE NECK PARKWAY,256 STREET,,,ADDRESS,FLORAL PARK,,Precinct,Closed,6/15/18 8:13,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:27,13 QUEENS,4088290040,QUEENS,1064549,204969,ONLINE,Unspecified,QUEENS,,,,,,,,40.72890476,-73.71027937,"(40.728904761461, -73.710279369111)"
39463284,6/15/18 0:13,6/15/18 1:26,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10033,4125 BROADWAY,BROADWAY,WEST 174 STREET,WEST 175 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:13,The Police Department responded and upon arrival those responsible for the condition were gone.,6/15/18 1:26,12 MANHATTAN,1021420244,MANHATTAN,1001236,247400,PHONE,Unspecified,MANHATTAN,,,,,,,,40.84571462,-73.93860661,"(40.845714620775, -73.938606613126)"
39467321,6/15/18 0:14,6/15/18 2:38,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10005,87 BEAVER STREET,BEAVER STREET,HANOVER STREET,PEARL STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:14,The Police Department responded and upon arrival those responsible for the condition were gone.,6/15/18 0:24,01 MANHATTAN,1000270017,MANHATTAN,981888,196268,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.70538677,-74.00851913,"(40.705386768387, -74.008519128012)"
39459533,6/15/18 0:14,6/15/18 1:47,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,103 MOSCO STREET,MOSCO STREET,MULBERRY STREET,MOTT STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:47,03 MANHATTAN,1001640043,MANHATTAN,984414,199571,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.71445303,-73.99940841,"(40.71445303362, -73.999408413619)"
39458950,6/15/18 0:14,6/15/18 1:18,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,1919 82 STREET,82 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:14,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:18,11 BROOKLYN,3062970070,BROOKLYN,984954,160733,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60785128,-73.99746456,"(40.607851280968, -73.997464562269)"
39464605,6/15/18 0:15,6/15/18 0:58,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,610 WEST 141 STREET,WEST 141 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:58,09 MANHATTAN,1020880038,MANHATTAN,997302,239524,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.82410397,-73.9528408,"(40.824103969692, -73.952840797026)"
39464476,6/15/18 0:15,6/15/18 0:33,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11215,1123 8 AVENUE,8 AVENUE,11 STREET,12 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:15,The Police Department responded to the complaint and determined that police action was not necessary.,6/15/18 0:33,06 BROOKLYN,3010970001,BROOKLYN,989697,181322,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.66436205,-73.98036615,"(40.664362053272, -73.980366151191)"
39467184,6/15/18 0:15,6/15/18 2:39,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10468,2410 WALTON AVENUE,WALTON AVENUE,EAST 184 STREET,EAST FORDHAM ROAD,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:15,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:35,05 BRONX,2031840026,BRONX,1011630,253072,PHONE,Unspecified,BRONX,,,,,,,,40.86125645,-73.9010159,"(40.861256451238, -73.90101589652)"
39458253,6/15/18 0:16,6/15/18 2:22,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,,,,,EAST   56 STREET,LENOX ROAD,INTERSECTION,BROOKLYN,,Precinct,Closed,6/15/18 8:16,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:24,17 BROOKLYN,,BROOKLYN,1005065,178172,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65569321,-73.92498155,"(40.65569320839, -73.924981548685)"
39467118,6/15/18 0:17,6/15/18 1:04,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10035,2262 1 AVENUE,1 AVENUE,EAST 116 STREET,EAST 117 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:17,The Police Department responded to the complaint and determined that police action was not necessary.,6/15/18 1:04,11 MANHATTAN,1017100102,MANHATTAN,1002181,229369,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.79622276,-73.93523923,"(40.796222763838, -73.935239232045)"
39466649,6/15/18 0:17,6/15/18 0:46,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027,1297 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 123 STREET,LA SALLE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:17,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 0:46,09 MANHATTAN,,MANHATTAN,996053,235064,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81186428,-73.9573615,"(40.811864281812, -73.95736149992)"
39465784,6/15/18 0:18,6/15/18 1:49,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11365,57-28 164 STREET,164 STREET,BOOTH MEMORIAL AVENUE,59 AVENUE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,6/15/18 8:18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:49,07 QUEENS,4067300050,QUEENS,1038435,209618,ONLINE,Unspecified,QUEENS,,,,,,,,40.7418636,-73.80446145,"(40.741863604229, -73.804461447838)"
39467166,6/15/18 0:18,6/15/18 2:39,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,2081 GRAND CONCOURSE,GRAND CONCOURSE,EAST 180 STREET,EAST 181 STREET,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:18,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:31,05 BRONX,2031610030,BRONX,1011171,250277,MOBILE,Unspecified,BRONX,,,,,,,,40.85358643,-73.9026865,"(40.853586429562, -73.902686495986)"
39460415,6/15/18 0:18,6/15/18 0:26,NYPD,New York City Police Department,Noise - Residential,,Residential Building/House,11365,67-08 PARSONS BOULEVARD,PARSONS BOULEVARD,65 AVENUE,JEWEL AVENUE,,,ADDRESS,FRESH MEADOWS,,Precinct,Closed,6/15/18 8:18,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 0:26,08 QUEENS,4067920030,QUEENS,1036722,206833,PHONE,Unspecified,QUEENS,,,,,,,,40.73422982,-73.81066489,"(40.734229816436, -73.810664890433)"
39467165,6/15/18 0:19,6/15/18 2:38,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,2400 WALTON AVENUE,WALTON AVENUE,EAST 184 STREET,EAST FORDHAM ROAD,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:19,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:35,05 BRONX,2031840012,BRONX,1011599,253005,MOBILE,Unspecified,BRONX,,,,,,,,40.86107265,-73.90112824,"(40.86107265263, -73.901128240936)"
39459535,6/15/18 0:20,6/15/18 1:13,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11211,221 SOUTH 3 STREET,SOUTH 3 STREET,ROEBLING STREET,HAVEMEYER STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:20,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:13,01 BROOKLYN,3024200037,BROOKLYN,995708,198358,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71111622,-73.95867038,"(40.711116219971, -73.958670379986)"
39463270,6/15/18 0:21,6/15/18 1:27,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11001,255-07 87 ROAD,87 ROAD,LITTLE NECK PARKWAY,256 STREET,,,ADDRESS,FLORAL PARK,,Precinct,Closed,6/15/18 8:21,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:27,13 QUEENS,4088290040,QUEENS,1064549,204969,ONLINE,Unspecified,QUEENS,,,,,,,,40.72890476,-73.71027937,"(40.728904761461, -73.710279369111)"
39466102,6/15/18 0:21,6/15/18 2:22,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11203,889 LINDEN BOULEVARD,LINDEN BOULEVARD,EAST 55 STREET,EAST 56 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:21,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:24,17 BROOKLYN,3046610032,BROOKLYN,1005069,177614,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65416161,-73.92496886,"(40.654161611553, -73.924968855034)"
39458219,6/15/18 0:22,6/15/18 1:05,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10010,510 EAST 23 STREET,EAST 23 STREET,ASSER LEVY PLACE,BEND,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:22,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 1:05,06 MANHATTAN,1009780001,MANHATTAN,990851,207343,PHONE,Unspecified,MANHATTAN,,,,,,,,40.73578282,-73.97618103,"(40.735782824842, -73.976181025498)"
39463271,6/15/18 0:22,6/15/18 0:45,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11106,33-15 9 STREET,9 STREET,33 ROAD,34 AVENUE,,,ADDRESS,ASTORIA,,Precinct,Closed,6/15/18 8:22,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 0:45,01 QUEENS,4003200020,QUEENS,1001233,218494,PHONE,Unspecified,QUEENS,,,,,,,,40.76637565,-73.93869058,"(40.766375651781, -73.938690579387)"
39458215,6/15/18 0:22,6/15/18 1:04,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11354,38-08 149 PLACE,149 PLACE,38 AVENUE,ROOSEVELT AVENUE,,,ADDRESS,FLUSHING,,Precinct,Closed,6/15/18 8:22,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:04,07 QUEENS,4050280025,QUEENS,1035296,217802,PHONE,Unspecified,QUEENS,,,,,,,,40.76434523,-73.81572706,"(40.764345234771, -73.815727060596)"
39459488,6/15/18 0:27,6/15/18 0:44,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10027,3200 BROADWAY,BROADWAY,WEST 125 STREET,WEST 126 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:27,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:44,09 MANHATTAN,1019820059,MANHATTAN,995846,236544,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81592674,-73.95810673,"(40.81592674228, -73.95810673319)"
39461951,6/15/18 0:27,6/15/18 1:45,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10002,70 GOUVERNEUR STREET,GOUVERNEUR STREET,MADISON STREET,MONROE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:27,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:45,03 MANHATTAN,1002600001,MANHATTAN,988748,198876,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71254428,-73.98377513,"(40.712544282533, -73.983775125864)"
39464508,6/15/18 0:28,6/15/18 1:55,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,58 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,STARR STREET,WILLOUGHBY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:28,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:55,04 BROOKLYN,3032000032,BROOKLYN,1006294,196806,PHONE,Unspecified,BROOKLYN,,,,,,,,40.70683631,-73.92049121,"(40.706836307408, -73.92049120787)"
39466709,6/15/18 0:29,6/15/18 2:38,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2410 WALTON AVENUE,WALTON AVENUE,EAST 184 STREET,EAST FORDHAM ROAD,,,ADDRESS,BRONX,,Precinct,Closed,6/15/18 8:29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:38,05 BRONX,2031840026,BRONX,1011630,253072,ONLINE,Unspecified,BRONX,,,,,,,,40.86125645,-73.9010159,"(40.861256451238, -73.90101589652)"
39458190,6/15/18 0:29,6/15/18 2:18,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11216,305 HALSEY STREET,HALSEY STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:29,The Police Department responded to the complaint and determined that police action was not necessary.,6/15/18 0:43,03 BROOKLYN,3018410078,BROOKLYN,1000792,188083,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6829057,-73.94035736,"(40.682905697452, -73.9403573592)"
39467971,6/15/18 0:29,6/15/18 2:01,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,1949 73 STREET,73 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:29,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 2:01,11 BROOKLYN,3061950057,BROOKLYN,986563,162494,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61268459,-73.99166919,"(40.61268459028, -73.991669187381)"
39466648,6/15/18 0:29,6/15/18 1:00,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10023,88 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST 68 STREET,WEST 69 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:29,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:00,07 MANHATTAN,1011210036,MANHATTAN,990496,221336,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.77419031,-73.977449,"(40.774190307336, -73.977449004778)"
39458188,6/15/18 0:31,6/15/18 1:44,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,11 GREAT JONES STREET,GREAT JONES STREET,GREAT JONES ALLEY,LAFAYETTE STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,6/15/18 8:31,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 1:44,02 MANHATTAN,1005300013,MANHATTAN,985953,204284,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72738892,-73.99385569,"(40.727388919304, -73.993855687964)"
39460741,6/15/18 0:32,6/15/18 2:25,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11221,684 JEFFERSON AVENUE,JEFFERSON AVENUE,STUYVESANT AVENUE,MALCOLM X BOULEVARD,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:32,The Police Department responded and upon arrival those responsible for the condition were gone.,6/15/18 1:52,03 BROOKLYN,3016560035,BROOKLYN,1003545,189042,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68553236,-73.9304286,"(40.685532359715, -73.930428598881)"
39465690,6/15/18 0:34,6/15/18 2:11,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,2111 BEEKMAN PLACE,BEEKMAN PLACE,DEAD END,FLATBUSH AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:34,The Police Department responded to the complaint and took action to fix the condition.,6/15/18 2:11,09 BROOKLYN,3050260075,BROOKLYN,994992,179735,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66000125,-73.96128272,"(40.660001248503, -73.96128272045)"
39458840,6/15/18 0:34,6/15/18 2:01,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11214,1927 84 STREET,84 STREET,19 AVENUE,20 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,6/15/18 8:34,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 2:01,11 BROOKLYN,3063280066,BROOKLYN,984666,160298,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60665731,-73.99850181,"(40.606657313168, -73.99850181359)"
39459246,6/15/18 0:35,6/15/18 0:57,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,122-45 134 STREET,134 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,ADDRESS,SOUTH OZONE PARK,,Precinct,Closed,6/15/18 8:35,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,6/15/18 0:57,10 QUEENS,4117580022,QUEENS,1038480,184990,ONLINE,Unspecified,QUEENS,,,,,,,,40.67426547,-73.80449741,"(40.674265466303, -73.804497411261)"
